IDmaster,Species1,Accepted_name_TNRS2022,LA,LDMC,LMA,Lth,Nmass,SM,SSD,H,Biogeo_status,Ende_status,Lineage,Lineage_Source,Accepted_family_TNRS2022,Growth_form
93,Cheirolophus canariensis,Cheirolophus canariensis,903.366,300.8709081,84.129799,0.215,18.68463,4.83,0.60308,1.5,TE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,shrub
94,Cheirolophus metlesicsii,Cheirolophus metlesicsii,NA,NA,NA,NA,NA,3.867,NA,2.5,TE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,shrub
95,Cheirolophus tagananensis,Cheirolophus tagananensis,NA,NA,NA,NA,NA,NA,NA,1,TE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,shrub
96,Cheirolophus teydis,Cheirolophus teydis,524.48875,226.3253935,108.04172,0.324,22.88705667,5.338,0.507361,1.5,CE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,shrub
97,Cheirolophus webbianus,Cheirolophus webbianus,2159.247,209.5983621,44.15119407,NA,18.97592667,3.246,0.649475,2,TE,Cla,Cheirolophus,"Susanna, Alfonso, Teresa Garnatje, and Nœria Garcia-Jacas. ""Molecular phylogeny ofCheirolophus (Asteraceae: Cardueae-Centaureinae) based on ITS sequences of nuclear ribosomal DNA."" Plant Systematics and Evolution 214.1 (1999): 147-160.",Asteraceae,shrub
98,Chelidonium majus,Chelidonium majus,NA,NA,NA,NA,NA,0.7449,NA,0.5,NNE,NNE,,,Papaveraceae,herb
99,Chenoleoides tomentosa,Bassia tomentosa,13.963,133.4029313,56.10064695,0.719666667,22.28165333,NA,0.741325333,0.5,NNE,NNE,,,Amaranthaceae,herb
100,Chenopodium coronopus,Chenopodiastrum coronopus,NA,NA,NA,NA,NA,NA,NA,0.3,CE,non_Cla,,,Amaranthaceae,herb
101,Cicer canariense,Cicer canariense,NA,NA,NA,NA,NA,33.04857143,NA,1,CE,non_Cla,,,Fabaceae,herb
102,Cistus chinamadensis,Cistus chinamadensis,NA,NA,NA,NA,NA,0.435,NA,0.45,CE,Cla,Cistus,"Guzm‡n, Beatriz, and Pablo Vargas. ""Systematics, character evolution, and biogeography of Cistus L.(Cistaceae) based on ITS, trnL-trnF, and matK sequences."" Molecular phylogenetics and evolution 37.3 (2005): 644-660.",Cistaceae,shrub
103,Cistus osbaeckiaefolius,Cistus osbeckiifolius,806.6043333,372.2103767,148.3585715,0.267666667,18.11719667,0.346,0.64473,1.5,TE,Cla,Cistus,"Guzm‡n, Beatriz, and Pablo Vargas. ""Systematics, character evolution, and biogeography of Cistus L.(Cistaceae) based on ITS, trnL-trnF, and matK sequences."" Molecular phylogenetics and evolution 37.3 (2005): 644-660.",Cistaceae,shrub
104,Cistus symphytifolius,Cistus symphytifolius,1618.376,459.674155,127.6999288,0.1555,12.719555,0.371,0.734288667,2,CE,Cla,Cistus,"Guzm‡n, Beatriz, and Pablo Vargas. ""Systematics, character evolution, and biogeography of Cistus L.(Cistaceae) based on ITS, trnL-trnF, and matK sequences."" Molecular phylogenetics and evolution 37.3 (2005): 644-660.",Cistaceae,shrub
105,Convolvulus canariensis,Convolvulus canariensis,3296.2005,322.6542384,84.23840318,0.2585,19.13172333,5.134,0.4613095,10,CE,Cla,Convolvulus_a,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,herb
106,Convolvulus floridus,Convolvulus floridus,2158.463333,310.7109439,87.09900099,0.218666667,16.29000667,4.988,0.802549333,4,CE,Cla,Convolvulus_b,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,shrub
107,Convolvulus fruticulosus,Convolvulus fruticulosus,291.4573333,329.5576033,54.66780729,0.343666667,23.93244333,4.519,0.543121667,1.5,CE,Cla,Convolvulus_a,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,shrub
108,Convolvulus perraudieri,Convolvulus fruticulosus subsp. fruticulosus,314.468,349.8079349,67.30944537,0.180666667,19.5019,6.196,0.521461667,2,CE,Cla,Convolvulus_a,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,shrub
109,Convolvulus scoparius,Convolvulus scoparius,312.688,361.3230324,15.45736751,0.47,15.38453333,4.81,0.708344333,2,CE,Cla,Convolvulus_b,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,shrub
110,Convolvulus volubilis,Convolvulus volubilis,NA,NA,NA,NA,NA,NA,NA,NA,CE,Cla,Convolvulus_a,"Carine, Mark A., et al. ""Relationships of the Macaronesian and Mediterranean floras: molecular evidence for multiple colonizations into Macaronesia and back_colonization of the continent in Convolvulus (Convolvulaceae)."" American Journal of Botany 91.7 (2004): 1070-1085.",Convolvulaceae,shrub
111,Crambe arborea,Crambe arborea,12251.69765,195.3658559,171.4048176,0.386666667,25.35250333,1.345,0.490980667,1.5,TE,Cla,Crambe,"Francisco_Ortega, Javier, et al. ""Phylogeny of the Macaronesian endemic Crambe section Dendrocrambe (Brassicaceae) based on internal transcribed spacer sequences of nuclear ribosomal DNA."" American Journal of Botany 89.12 (2002): 1984-1990.",Brassicaceae,herb
112,Crambe laevigata,Crambe laevigata,NA,NA,NA,NA,NA,1.503,NA,0.5,TE,Cla,Crambe,"Francisco_Ortega, Javier, et al. ""Phylogeny of the Macaronesian endemic Crambe section Dendrocrambe (Brassicaceae) based on internal transcribed spacer sequences of nuclear ribosomal DNA."" American Journal of Botany 89.12 (2002): 1984-1990.",Brassicaceae,herb
113,Crambe scaberrima,Crambe scaberrima,7033.33375,181.4886161,94.8341176,0.50475,22.10829333,2.142,0.485737667,1,TE,Cla,Crambe,"Francisco_Ortega, Javier, et al. ""Phylogeny of the Macaronesian endemic Crambe section Dendrocrambe (Brassicaceae) based on internal transcribed spacer sequences of nuclear ribosomal DNA."" American Journal of Botany 89.12 (2002): 1984-1990.",Brassicaceae,herb
114,Crambe strigosa,Crambe strigosa,25144.21857,145.9057541,46.80775145,0.313,37.27471667,1.65,NA,1.5,CE,Cla,Crambe,"Francisco_Ortega, Javier, et al. ""Phylogeny of the Macaronesian endemic Crambe section Dendrocrambe (Brassicaceae) based on internal transcribed spacer sequences of nuclear ribosomal DNA."" American Journal of Botany 89.12 (2002): 1984-1990.",Brassicaceae,herb
115,Crithmum maritimum,Crithmum maritimum,2386.811,122.9194796,118.5682486,1.222,13.636725,0.928571429,0.353739,0.45,NNE,NNE,,,Apiaceae,herb
116,Cryptotaenia elegans,Daucus elegans,6201.346667,149.8145821,20.96318864,0.142333333,34.01216667,1.384,0.251279,1,CE,non_Cla,,,Apiaceae,herb
117,Cynara cardunculus,Cynara cardunculus,74702.73333,185.4276884,157.9594142,0.333,15.61579,3.56,NA,1,NNE,NNE,,,Asteraceae,herb
118,Cyperus capitatus,Cyperus capitatus,NA,NA,NA,NA,NA,1.092,NA,0.5,NNE,NNE,,,Cyperaceae,herb
119,Cyperus teneriffae,Cyperus rubicundus,107.2634783,155.8441558,44.74962101,0.212,12.11942,NA,NA,0.2,NNE,NNE,,,Cyperaceae,herb
120,Dactylis metlesicsii,Dactylis glomerata subsp. glomerata,569.0035,349.9941058,96.07439439,0.058,30.026585,NA,0.47249875,1,TE,non_Cla,,,Poaceae,herb
121,Dactylis smithii,Dactylis smithii,443.7473333,322.092159,30.42271803,0.1535,25.62377333,0.398,0.318046667,0.6,MAC,non_Cla,,,Poaceae,herb
122,Descurainia bourgeauana,Descurainia bourgaeana,58.26933333,310.1953602,63.1321221,0.211333333,37.19164667,0.1515,0.573541333,1,CE,Cla,Descurainia,"Goodson, Barbara E., Sumaiyah K. Rehman, and Robert K. Jansen. ""Molecular systematics and biogeography of Descurainia (Brassicaceae) based on nuclear ITS and non-coding chloroplast DNA."" Systematic Botany 36.4 (2011): 957-980.",Brassicaceae,herb
123,Descurainia gonzalesii,Descurainia gonzalezii,55.78633333,282.2215559,130.3186563,0.267,32.78109333,NA,0.565531,1.5,TE,Cla,Descurainia,"Goodson, Barbara E., Sumaiyah K. Rehman, and Robert K. Jansen. ""Molecular systematics and biogeography of Descurainia (Brassicaceae) based on nuclear ITS and non-coding chloroplast DNA."" Systematic Botany 36.4 (2011): 957-980.",Brassicaceae,herb
124,Descurainia lemsii,Descurainia lemsii,144.811,291.9031644,61.68960461,0.169666667,31.73378,0.1245,0.707006667,0.8,TE,Cla,Descurainia,"Goodson, Barbara E., Sumaiyah K. Rehman, and Robert K. Jansen. ""Molecular systematics and biogeography of Descurainia (Brassicaceae) based on nuclear ITS and non-coding chloroplast DNA."" Systematic Botany 36.4 (2011): 957-980.",Brassicaceae,herb
125,Descurainia millefolia,Descurainia millefolia,158.0593333,290.1763453,40.49112359,0.224666667,29.50339,0.247,0.758516,0.8,CE,Cla,Descurainia,"Goodson, Barbara E., Sumaiyah K. Rehman, and Robert K. Jansen. ""Molecular systematics and biogeography of Descurainia (Brassicaceae) based on nuclear ITS and non-coding chloroplast DNA."" Systematic Botany 36.4 (2011): 957-980.",Brassicaceae,herb
126,Dicheranthus plocamoides,Dicheranthus plocamoides,47.16655172,298.0414122,235.9228364,1.275666667,8.084536667,NA,0.5726725,1,CE,non_Cla,,,Caryophyllaceae,shrub
127,Dorycnium broussonetii,Lotus broussonetii,NA,NA,NA,NA,NA,1.65,NA,1.5,CE,Cla,Doricnium,"Kramina, Tatiana E., et al. ""Phylogenetic placement and phylogeography of large-flowered Lotus species (Leguminosae) formerly classified in Dorycnium: Evidence of pre-pleistocene differentiation of western and eastern intraspecific groups."" Plants 10.2 (2021): 260.",Fabaceae,herb
128,Dorycnium eriophthalmum,Lotus eriophthalmus,NA,NA,NA,NA,NA,1.642,NA,2,CE,Cla,Doricnium,"Kramina, Tatiana E., et al. ""Phylogenetic placement and phylogeography of large-flowered Lotus species (Leguminosae) formerly classified in Dorycnium: Evidence of pre-pleistocene differentiation of western and eastern intraspecific groups."" Plants 10.2 (2021): 260.",Fabaceae,shrub
129,Dorycnium spectabile,Lotus spectabilis,NA,NA,NA,NA,NA,1.487,NA,2,TE,Cla,Doricnium,"Kramina, Tatiana E., et al. ""Phylogenetic placement and phylogeography of large-flowered Lotus species (Leguminosae) formerly classified in Dorycnium: Evidence of pre-pleistocene differentiation of western and eastern intraspecific groups."" Plants 10.2 (2021): 260.",Fabaceae,shrub
130,Dracaena draco,Dracaena draco,19956.10571,193.720868,341.5245488,2.36,9.204625,235.72,0.249017,20,NNE,Cla,Draceana,"Dur‡n, Iv‡n, et al. ""Iconic, threatened, but largely unknown: Biogeography of the Macaronesian dragon trees (Dracaena spp.) as inferred from plastid DNA markers."" Taxon 69.2 (2020): 217-233.",Asparagaceae,tree
131,Dracunculus canariensis,Dracunculus canariensis,4818.693834,105.2133741,107.7747037,0.096,28.76251,40.59,0.062886,1.5,CE,non_Cla,,,Araceae,herb
132,Drimia maritima,Drimia maritima,12440.558,99.74600324,75.07701825,0.506,17.16792,5.98,NA,1.5,NNE,NNE,,,Asparagaceae,herb
133,Drusa glandulosa,Drusa glandulosa,1199.439231,136.8177388,20.84307346,0.1555,29.56538667,NA,0.104195333,0.3,NNE,NNE,,,Apiaceae,herb
134,Ebingeria elegans,Luzula elegans,362.545,233.7523719,34.63202269,0.089666667,20.02794,NA,0.387715,0.4,MAC,non_Cla,,,Juncaceae,herb
135,Echium aculeatum,Echium aculeatum,140.829,190.7341874,211.8408377,0.628,14.920895,3.094,0.497686333,2,CE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
136,Echium auberianum,Echium auberianum,3927.448235,163.7181525,157.3328608,0.769,25.52772333,0.882,NA,0.8,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,herb
137,Echium bonnetii,Echium bonnetii,300.2983333,180.7514803,53.83535262,0.258333333,18.41337,NA,0.227994333,0.25,CE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,herb
138,Echium giganteum,Echium giganteum,2525.643,175.226347,65.72583695,0.2395,19.215815,2.394,0.496256,2.5,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
139,Echium leucophaeum,Echium leucophaeum,568.138,251.0060053,134.6503842,0.298666667,17.17636333,3.262,0.579877333,1.5,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
140,Echium simplex,Echium simplex,44363.06846,119.8639668,110.4171669,0.435,24.05198667,3.166,0.295466,2,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,herb
141,Echium strictum,Echium strictum,4072.6288,226.6595588,54.59209377,0.277333333,24.67725,1.982,0.464902,1,CE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
142,Echium sventenii,Echium sventenii,NA,NA,NA,NA,NA,NA,NA,1.5,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
143,Echium triste,Echium triste,838.526,184.2724789,67.47942222,0.34975,21.5755875,NA,0.232826333,0.5,CE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,herb
144,Echium virescens,Echium virescens,1555.077667,262.3559901,144.2371689,0.365666667,15.8213375,2.392,0.5023326,2,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,shrub
145,Echium wildpretii,Echium wildpretii,8729,202.2229734,152.9862145,1.397,16.34557,2.646,0.117757,3,TE,Cla,Echium,"B_hle, Uta-Regina, Hartmut H. Hilger, and William F. Martin. ""Island colonization and evolution of the insular woody habit in Echium L.(Boraginaceae)."" Proceedings of the National Academy of Sciences 93.21 (1996): 11740-11745.",Boraginaceae,herb
146,Ephedra altissima,Ephedra altissima,NA,NA,NA,NA,NA,NA,NA,NA,NNE,NNE,,,Ephedraceae,shrub
147,Ephedra fragilis,Ephedra fragilis,325.303,419.4312796,544.1081084,1.552,16.58374,7.974285714,0.584593,2,NNE,NNE,,,Ephedraceae,shrub
148,Ephedra major,Ephedra major,NA,NA,NA,NA,NA,9.3652,0.613814,2,NNE,NNE,,,Ephedraceae,shrub
149,Erica arborea,Erica arborea,6.357428571,496.9834087,120.593831,0.237333333,12.58352667,0.019142857,0.6193,12,NNE,NNE,,,Ericaceae,tree
150,Erica platycodon,Erica platycodon,13.65733333,509.9727433,183.0518403,0.299666667,12.71953333,NA,0.7148,6,CE,non_Cla,,,Ericaceae,shrub
151,Erigeron calderae,Erigeron calderae,580.93875,193.61553,72.0098863,0.196,26.68057333,0.163,NA,0.25,TE,non_Cla,,,Asteraceae,herb
152,Erucastrum canariense,Erucastrum canariense,NA,NA,NA,NA,NA,0.138,NA,0.3,CE,non_Cla,,,Brassicaceae,herb
153,Erucastrum cardaminoides,Erucastrum cardaminoides,NA,NA,NA,NA,NA,0.214,NA,0.3,NNE,NNE,,,Brassicaceae,herb
154,Erysimum bicolor,Erysimum bicolor,260.966,206.7689804,40.87377922,0.074333333,27.72215,1.306,0.622123333,1.2,MAC,Cla,Erysimum,"Moazzeni, Hamid, et al. ""Phylogenetic perspectives on diversification and character evolution in the species-rich genus Erysimum (Erysimeae; Brassicaceae) based on a densely sampled ITS approach."" Botanical Journal of the Linnean Society 175.4 (2014): 497-522.",Brassicaceae,herb
155,Erysimum scoparium,Erysimum scoparium,214.919,224.4839031,88.40539924,0.292666667,34.35327,1.014,0.606833333,1,CE,Cla,Erysimum,"Moazzeni, Hamid, et al. ""Phylogenetic perspectives on diversification and character evolution in the species-rich genus Erysimum (Erysimeae; Brassicaceae) based on a densely sampled ITS approach."" Botanical Journal of the Linnean Society 175.4 (2014): 497-522.",Brassicaceae,herb
156,Euphorbia aphylla,Euphorbia aphylla,348.2555,NA,NA,6.566,7.068315,2.092,0.207738333,0.8,CE,Cla,Euphorbia,"Barres, Laia, et al. ""Phylogeography and character evolution of Euphorbia sect. Aphyllis subsect. Macaronesicae (Euphorbiaceae)."" Taxon 66.2 (2017): 324-342.",Euphorbiaceae,shrub
157,Euphorbia atropurpurea,Euphorbia atropurpurea,930.286,201.4612728,69.15436042,0.252333333,15.90739333,4.888,0.338875333,2,TE,Cla,Euphorbia,"Barres, Laia, et al. ""Phylogeography and character evolution of Euphorbia sect. Aphyllis subsect. Macaronesicae (Euphorbiaceae)."" Taxon 66.2 (2017): 324-342.",Euphorbiaceae,shrub
158,Euphorbia balsamifera,Euphorbia balsamifera,222.6333333,244.275265,104.8061087,0.418,16.16107667,5.856,0.238769333,2,NNE,NNE,,,Euphorbiaceae,shrub
159,Euphorbia bourgeauana,Euphorbia bourgeana,757.911,225.5892256,58.93436037,0.178,17.80516,19.344,0.337519,3,CE,Cla,Euphorbia,"Barres, Laia, et al. ""Phylogeography and character evolution of Euphorbia sect. Aphyllis subsect. Macaronesicae (Euphorbiaceae)."" Taxon 66.2 (2017): 324-342.",Euphorbiaceae,shrub
160,Euphorbia canariensis,Euphorbia canariensis,NA,NA,NA,NA,NA,9.518,0.096924,3,CE,non_Cla,,,Euphorbiaceae,shrub
161,Euphorbia lamarckii,Euphorbia lamarckii,363.792,207.837916,65.97176408,0.281666667,27.55135,2.588301,0.284565667,2,CE,Cla,Euphorbia,"Barres, Laia, et al. ""Phylogeography and character evolution of Euphorbia sect. Aphyllis subsect. Macaronesicae (Euphorbiaceae)."" Taxon 66.2 (2017): 324-342.",Euphorbiaceae,shrub
162,Euphorbia mellifera,Euphorbia mellifera,1250.449231,205.3802067,51.18160612,0.155,18.03745,20.492,NA,15,MAC,non_Cla,,,Euphorbiaceae,shrub
163,Ferula linkii,Ferula communis subsp. linkii,4901.804,196.7126193,37.84321038,0.144,21.45614,31.435,0.108821,3,CE,Cla,Ferula,Kurzyna-M_ynik et al. 2008 only analyzed F. linkii but Angela Dettori et al. have included all species and they are monophyletic,Apiaceae,herb
164,Festuca agustinii,Festuca agustini,276.223,344.748275,193.6840886,0.3575,13.508665,NA,0.643865,0.6,CE,non_Cla,,,Poaceae,herb
165,Forsskaolea angustifolia,Forsskaolea angustifolia,338.173,252.2609609,56.84171514,0.257333333,25.06195667,NA,0.259622667,2,CE,non_Cla,,,Urticaceae,herb
166,Frankenia capitata,Frankenia capitata,5.921,768.5185185,106.9639138,0.235,17.34254,NA,0.751259667,0.3,CE,non_Cla,,,Frankeniaceae,herb
167,Frankenia ericifolia,Frankenia ericifolia,8.100333333,426.4705882,67.89844039,0.2055,19.40995333,NA,0.827275,0.3,NNE,NNE,,,Frankeniaceae,shrub
168,Fumaria coccinea,Fumaria coccinea,249.5446667,165.5107142,15.58438436,0.051,24.81398667,NA,0.152782,0.8,CE,Cla,Fumaria,_No phylogeny available; assertion based on morphology,Papaveraceae,herb
169,Fumaria montana,Fumaria montana,383.213,135.8793667,23.19597717,0.130333333,32.80666667,NA,0.285788667,0.8,MAC,Cla,Fumaria,_No phylogeny available; assertion based on morphology,Papaveraceae,herb
170,Geranium reuteri,Geranium reuteri,13296.35857,133.3179491,28.42883621,0.150666667,27.32897667,2.24,0.211985333,1,CE,non_Cla,,,Geraniaceae,herb
171,Gesnouinia arborea,Gesnouinia arborea,704.1435,321.1470391,178.4674099,0.066,18.39117,0.192,0.430578333,5,CE,non_Cla,,,Urticaceae,tree
172,Globularia salicina,Globularia salicina,NA,NA,NA,NA,NA,0.011,0.6703245,2,MAC,Cla,Globularia,"Affenzeller, Matthias, Joachim W. Kadereit, and Hans Peter Comes. ""Parallel bursts of recent and rapid radiation in the Mediterranean and Eritreo_Arabian biodiversity hotspots as revealed by Globularia and Campylanthus (Plantaginaceae)."" Journal of Biogeography 45.3 (2018): 552-566.",Plantaginaceae,shrub
173,Gonospermum fruticosum,Gonospermum fruticosum,2686.631429,235.4548686,56.73151332,0.209666667,22.46676667,0.152,0.656868,1.5,CE,Cla,Gonospermum,"Francisco_Ortega, Javier, et al. ""Origin and evolution of the endemic genera of Gonosperminae (Asteraceae: Anthemideae) from the Canary Islands: evidence from nucleotide sequences of the internal transcribed spacers of the nuclear ribosomal DNA."" American Journal of Botany 88.1 (2001): 161-169.",Asteraceae,shrub
174,Gonospermum revolutum,Gonospermum revolutum,3688.812667,170.3441861,100.484004,0.563333333,12.64503333,0.227,0.550375,0.4,TE,Cla,Gonospermum,"Francisco_Ortega, Javier, et al. ""Origin and evolution of the endemic genera of Gonosperminae (Asteraceae: Anthemideae) from the Canary Islands: evidence from nucleotide sequences of the internal transcribed spacers of the nuclear ribosomal DNA."" American Journal of Botany 88.1 (2001): 161-169.",Asteraceae,herb
175,Greenovia aizoon,Aeonium aizoon,172.9846,61.95853557,79.77588756,1.5132,7.684988,NA,NA,0.2,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
176,Greenovia aurea,Aeonium aureum,4974.884615,95.77281672,258.1857536,2.978,8.30775,0.0565,NA,0.45,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
177,Greenovia dodrentalis,Aeonium dodrantale,1340.694667,67.49219408,133.5128754,2.459333333,6.807413333,0.033,NA,0.45,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
178,Gymnocarpos decandrus,Gymnocarpos,36.721,138.1352985,104.3907664,1.542333333,19.56423333,0.018,0.768141333,0.4,NNE,NNE,,,Caryophyllaceae,herb
179,Habenaria tridactylites,Habenaria tridactylites,1936.435,47.5726053,34.08325092,0.658,28.000738,NA,NA,0.4,CE,non_Cla,,,Orchidaceae,herb
180,Heberdenia excelsa,Heberdenia excelsa,1871.785,440.2451481,153.5074808,0.385,13.48842,48.3,0.623617,10,MAC,non_Cla,,,Primulaceae,tree
181,Hedera canariensis,Hedera canariensis,7484.413158,331.6360483,103.1476996,0.303,14.71711,62.11,0.394157,6,NNE,NNE,,,Araliaceae,shrub
182,Helianthemum broussonetii,Helianthemum broussonetii,615.277,245.7697205,51.19645298,0.235,20.83386667,0.696,0.573589,0.5,CE,Cla,Helianthemum_a,"Albaladejo, Rafael G., et al. ""Reconstruction of the spatio-temporal diversification and ecological niche evolution of Helianthemum (Cistaceae) in the Canary Islands using genotyping-by-sequencing data."" Annals of botany 127.5 (2021): 597-611.",Cistaceae,shrub
183,Helianthemum canariense,Helianthemum canariense,56.873,378.4266624,102.9545361,0.273666667,17.36973,0.225,0.631818,0.25,CE,Cla,Helianthemum_b,"Aparicio, Abelardo, et al. ""Phylogenetic reconstruction of the genus Helianthemum (Cistaceae) using plastid and nuclear DNA_sequences: Systematic and evolutionary inferences."" Taxon 66.4 (2017): 868-885.",Cistaceae,shrub
184,Helianthemum juliae,Helianthemum juliae,91.70166667,300.5733006,108.1405282,0.280666667,23.38548333,0.844,0.4533525,0.6,TE,Cla,Helianthemum_a,"Albaladejo, Rafael G., et al. ""Reconstruction of the spatio-temporal diversification and ecological niche evolution of Helianthemum (Cistaceae) in the Canary Islands using genotyping-by-sequencing data."" Annals of botany 127.5 (2021): 597-611.",Cistaceae,shrub
185,Helianthemum teneriffae,Helianthemum teneriffae,NA,NA,NA,NA,NA,1.033,NA,0.4,TE,Cla,Helianthemum_a,"Albaladejo, Rafael G., et al. ""Reconstruction of the spatio-temporal diversification and ecological niche evolution of Helianthemum (Cistaceae) in the Canary Islands using genotyping-by-sequencing data."" Annals of botany 127.5 (2021): 597-611.",Cistaceae,shrub
186,Heliotropium ramosissimum,Heliotropium ramosissimum,431.734,200.3900545,91.36258282,0.352,30.08000333,NA,0.345179333,0.3,NNE,NNE,,,Heliotropiaceae,herb
187,Herniaria canariensis,Herniaria canariensis,4.5385,333.3333333,77.11799053,0.321,20.02096,NA,0.72533,NA,TE,non_Cla,,,Caryophyllaceae,shrub
188,Himantoglossum metlesicsianum,Himantoglossum metlesicsianum,NA,NA,NA,NA,NA,0.002733333,NA,0.7,CE,non_Cla,,,Orchidaceae,herb
189,Hyparrhenia hirta,Hyparrhenia hirta,154.133,309.8591549,142.7338727,0.198,13.630925,0.342,NA,0.9,NNE,NNE,,,Poaceae,herb
